id,price
d9a60969,9
18804b02,10
82bfb1bf,14
0b50e66f,6
04667f9c,14
5409dc60,10
0a3a7993,12
456e0f12,5
c99e793f,9
b65a3bc3,5
dca675c4,12
e0b0a92f,14
c9594ba1,5
4197fd73,5
5b8b8785,8
f1e49897,12
7cb5f605,10
e2057b05,9
384ffa02,7
5863fa72,5
b519d811,7
bdcc3219,6
47ed083a,7
eb5bf36c,10
0d1cb912,12
53e39a46,13
3cd19875,5
9f5d4f62,11
1add3c53,6
9e1c18c1,10
cb807f20,13
3fa62a8f,14
d651265e,13
7056203a,5
5a5db58f,8
2beed527,13
edea2a6a,12
4477fde8,9
88d27357,9
827393e5,14
5b949228,9
59b29b16,11
c5299bc8,11
205095ac,11
c328846b,13
4b7c45dd,14
627b67dc,7
8825d845,7
03388d71,14
94afd9e9,8
c7f29216,7
319e93d2,11
dbcc3efd,6
93588de2,13
0890927e,12
e0d93837,14
ae2ce2d2,14
75d8f592,6
d69dc676,8
00503d3c,8
c6c5fb57,12
1d17fee5,7
29e0b33c,5
a117a5d7,8
568580a4,11
6dfc52bd,7
82f0a9d5,14
dd32f8b6,7
46db2f35,11
d7239640,12
d613a4a0,8
699a465a,13
44a077e6,11
52d39376,10
50ed2771,13
5e586d50,14
3ae73c0b,8
9a77543c,5
1ecc0fd5,9
3863f7ac,5
3a804531,9
fa518ae0,13
ef944159,11
efdd98a4,9
1ce3e603,8
04bcb15b,11
4de6a8cc,12
1d854e3e,6
ee62514f,13
63f0cc3f,14
7f74be54,14
e3612f68,10
f1a77ab4,8
a74c269e,5
13993ced,6
5e1a8230,6
b7cd7d5b,7
26ac98b5,6
5a2bb80c,13
97a41ed6,11
